Date,Credit/Debit,Balance,Category
29/4/2024,-19.31,1771.33,Eating out
28/4/2024,-8.25,1790.64,Eating out
28/4/2024,-28,1798.89,Eating out
28/4/2024,-22.2,1826.89,Eating out
27/4/2024,-27.5,1849.09,Food
27/4/2024,-2.85,1876.59,Food
27/4/2024,-53.07,1879.44,Eating out
26/4/2024,-1.1,1932.51,Eating out
26/4/2024,-10.8,1933.61,Eating out
25/4/2024,-30,1944.41,Food
24/4/2024,752.75,1974.41,Eating out
24/4/2024,-4.5,1221.66,Eating out
24/4/2024,-15.96,1226.16,Eating out
24/4/2024,-18,1242.12,Food
24/4/2024,-9.96,1260.12,Eating out
24/4/2024,-18.95,1270.08,Food
24/4/2024,-5.4,1289.03,Eating out
24/4/2024,-6.2,1294.43,Eating out
23/4/2024,-19.31,1300.63,Eating out
23/4/2024,-5.08,1319.94,Entertainment
23/4/2024,-6.3,1325.02,Eating out
23/4/2024,-6.3,1331.32,Eating out
23/4/2024,-6.7,1337.62,Eating out
23/4/2024,-6.97,1344.32,Food
23/4/2024,-8.13,1351.29,Food
22/4/2024,-17.18,1359.42,Eating out
22/4/2024,-10.09,1376.6,Eating out
20/4/2024,-10.81,1386.69,Eating out
20/4/2024,-14.17,1397.5,Food
20/4/2024,-12.5,1411.67,Eating out
20/4/2024,-25,1424.17,Eating out
19/4/2024,-18.99,1449.17,Eating out
19/4/2024,-16.9,1468.16,Food
19/4/2024,-9.96,1485.06,Eating out
19/4/2024,-12.11,1495.02,Eating out
19/4/2024,-15,1507.13,Food
19/4/2024,-31,1522.13,Eating out
19/4/2024,-3,1553.13,Eating out
19/4/2024,-9.5,1556.13,Food
19/4/2024,-309,1565.63,Eating out
18/4/2024,-27,1874.63,Eating out
18/4/2024,-30,1901.63,Eating out
17/4/2024,699.25,1931.63,Eating out
17/4/2024,-8,1232.38,Eating out
17/4/2024,-104.48,1240.38,Eating out
17/4/2024,-18.95,1344.86,Eating out
17/4/2024,-119.98,1363.81,Eating out
16/4/2024,-4.5,1483.79,Entertainment
16/4/2024,-19.18,1488.29,Eating out
16/4/2024,-9.66,1507.47,Eating out
16/4/2024,-35,1517.13,Eating out շաբաթ
16/4/2024,-18.65,1552.13,Eating out
15/4/2024,50,1570.78,Eating out
15/4/2024,-9.66,1520.78,Eating out
15/4/2024,-10.09,1530.44,Food
14/4/2024,-12.95,1540.53,Eating out
13/4/2024,-5.4,1553.48,Eating out
13/4/2024,-9.6,1558.88,Eating out
13/4/2024,-28.85,1568.48,Eating out
13/4/2024,-12.81,1597.33,Eating out
12/4/2024,-6.2,1610.14,Eating out
12/4/2024,-5.08,1616.34,Food
11/4/2024,-19.18,1621.42,Eating out
11/4/2024,-5.7,1640.6,Eating out
11/4/2024,-26,1646.3,Eating out
10/4/2024,900,1672.3,Eating out
10/4/2024,388.75,772.3,Eating out
10/4/2024,-13.25,383.55,Eating out
10/4/2024,-6.64,396.8,Eating out
10/4/2024,-18.95,403.44,Eating out
10/4/2024,-11.4,422.39,Eating out
9/4/2024,-15.96,433.79,Eating outԵղարկա
9/4/2024,-7,449.75,Eating out
9/4/2024,-10.3,456.75,Eating out
9/4/2024,-6.64,467.05,Eating out
9/4/2024,-30,473.69,Eating out
9/4/2024,-10.09,503.69,Eating out
8/4/2024,-18,513.78,Eating out
8/4/2024,-2.54,531.78,Eating out
8/4/2024,-11.15,534.32,Eating out
6/4/2024,-4.5,545.47,Eating out
6/4/2024,-29,549.97,Eating out
6/4/2024,-7.98,578.97,Eating out
5/4/2024,-2.5,586.95,Eating out
5/4/2024,5.59,589.45,Eating out
5/4/2024,-10.16,583.86,Eating out
5/4/2024,-5.59,594.02,Eating out
5/4/2024,-30,599.61,Food
5/4/2024,-17,629.61,Entertainment
4/4/2024,-13,646.61,Food
4/4/2024,-18.95,659.61,Eating out
4/4/2024,-34.93,678.56,Eating out
3/4/2024,278,713.49,Eating out
3/4/2024,-12.2,435.49,Eating out
3/4/2024,-71.49,447.69,Eating out
3/4/2024,-56.43,519.18,Eating out
3/4/2024,-10.17,575.61,Eating out
